Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon
101;2017;3535903;Bovino;8698
101;2017;3536000;Bovino;30350
101;2017;3536109;Bovino;17000
101;2017;3536208;Bovino;3551
101;2017;3536257;Bovino;12100
101;2017;3536307;Bovino;26357
101;2017;3536406;Bovino;15350
101;2017;3536505;Bovino;300
101;2017;3536570;Bovino;9630
101;2017;3536604;Bovino;37537
101;2017;3536703;Bovino;21712
101;2017;3536802;Bovino;11400
101;2017;3536901;Bovino;22384
101;2017;3537008;Bovino;34284
101;2017;3537107;Bovino;8399
101;2017;3537156;Bovino;1175
101;2017;3537206;Bovino;1500
101;2017;3537305;Bovino;25644
101;2017;3537404;Bovino;47729
101;2017;3537503;Bovino;35000
101;2017;3537602;Bovino;760
101;2017;3537701;Bovino;22927
101;2017;3537800;Bovino;9563
101;2017;3537909;Bovino;14187
101;2017;3538006;Bovino;55500
101;2017;3538105;Bovino;4525
101;2017;3538204;Bovino;9236
101;2017;3538303;Bovino;69325
101;2017;3538501;Bovino;7994
101;2017;3538600;Bovino;17500
101;2017;3538709;Bovino;54790
101;2017;3538808;Bovino;28395
101;2017;3538907;Bovino;61510
101;2017;3539004;Bovino;2500
101;2017;3539202;Bovino;29920
101;2017;3539301;Bovino;10500
101;2017;3539400;Bovino;33364
101;2017;3539509;Bovino;4552
101;2017;3539608;Bovino;10792
101;2017;3539707;Bovino;12470
101;2017;3539806;Bovino;30
101;2017;3539905;Bovino;12610
101;2017;3540002;Bovino;70002
101;2017;3540101;Bovino;17560
101;2017;3540200;Bovino;551
101;2017;3540259;Bovino;18951
101;2017;3540309;Bovino;9990
101;2017;3540408;Bovino;17701
101;2017;3540507;Bovino;28577
101;2017;3540606;Bovino;21498
101;2017;3540705;Bovino;3260
101;2017;3540754;Bovino;4132
101;2017;3540804;Bovino;36889
101;2017;3540853;Bovino;8002
101;2017;3540903;Bovino;781
101;2017;3541059;Bovino;7000
101;2017;3541109;Bovino;33155
101;2017;3541208;Bovino;114700
101;2017;3541307;Bovino;102510
101;2017;3541406;Bovino;57550
101;2017;3541505;Bovino;91753
101;2017;3541604;Bovino;60309
101;2017;3541653;Bovino;9700
101;2017;3541703;Bovino;30800
101;2017;3541802;Bovino;9842
101;2017;3541901;Bovino;7101
101;2017;3542008;Bovino;32227
101;2017;3542107;Bovino;2950
101;2017;3542206;Bovino;117000
101;2017;3542305;Bovino;13865
101;2017;3542404;Bovino;29108
101;2017;3542503;Bovino;22300
101;2017;3542602;Bovino;10952
101;2017;3542701;Bovino;8130
101;2017;3542800;Bovino;5864
101;2017;3542909;Bovino;13023
101;2017;3543006;Bovino;13926
101;2017;3543105;Bovino;4247
101;2017;3543204;Bovino;5000
101;2017;3543238;Bovino;21935
101;2017;3543253;Bovino;6036
101;2017;3543303;Bovino;72
101;2017;3543402;Bovino;3285
101;2017;3543501;Bovino;33800
101;2017;3543600;Bovino;7518
101;2017;3543709;Bovino;4547
101;2017;3543808;Bovino;41937
101;2017;3543907;Bovino;17701
101;2017;3544004;Bovino;2022
101;2017;3544103;Bovino;18
101;2017;3544202;Bovino;37900
101;2017;3544251;Bovino;60772
101;2017;3544301;Bovino;6648
101;2017;3544400;Bovino;17830
101;2017;3544509;Bovino;21115
101;2017;3544608;Bovino;25000
101;2017;3544707;Bovino;11250
101;2017;3544806;Bovino;18000
101;2017;3544905;Bovino;7642
101;2017;3545001;Bovino;4431
101;2017;3545100;Bovino;14008
101;2017;3545159;Bovino;6756
101;2017;3545209;Bovino;4300
101;2017;3545308;Bovino;9513
101;2017;3545407;Bovino;5000
101;2017;3545506;Bovino;22163
101;2017;3545605;Bovino;3225
101;2017;3545704;Bovino;27961
101;2017;3545803;Bovino;1500
101;2017;3546009;Bovino;10562
101;2017;3546108;Bovino;19113
101;2017;3546207;Bovino;8266
101;2017;3546256;Bovino;2000
101;2017;3546306;Bovino;1930
101;2017;3546405;Bovino;48800
101;2017;3546504;Bovino;235
101;2017;3546603;Bovino;25870
101;2017;3546702;Bovino;413
101;2017;3546801;Bovino;7704
101;2017;3546900;Bovino;481
101;2017;3547007;Bovino;12301
101;2017;3547106;Bovino;11200
101;2017;3547205;Bovino;19800
101;2017;3547304;Bovino;1300
101;2017;3547403;Bovino;28096
101;2017;3547502;Bovino;24000
101;2017;3547601;Bovino;9366
101;2017;3547650;Bovino;11310
101;2017;3547700;Bovino;79176
101;2017;3547908;Bovino;19651
101;2017;3548005;Bovino;3400
101;2017;3548054;Bovino;90120
101;2017;3548104;Bovino;5750
101;2017;3548203;Bovino;4360
101;2017;3548302;Bovino;13300
101;2017;3548401;Bovino;8526
101;2017;3548609;Bovino;16360
101;2017;3548906;Bovino;38000
101;2017;3549003;Bovino;9706
101;2017;3549102;Bovino;40200
101;2017;3549201;Bovino;11121
101;2017;3549250;Bovino;11200
101;2017;3549300;Bovino;6600
101;2017;3549409;Bovino;4516
101;2017;3549508;Bovino;7072
101;2017;3549607;Bovino;12670
101;2017;3549706;Bovino;49300
101;2017;3549805;Bovino;21272
101;2017;3549904;Bovino;59031
101;2017;3550001;Bovino;39300
101;2017;3550100;Bovino;8500
101;2017;3550209;Bovino;19396
101;2017;3550308;Bovino;539
101;2017;3550407;Bovino;35330
101;2017;3550506;Bovino;46000
101;2017;3550605;Bovino;2630
101;2017;3550704;Bovino;110
101;2017;3550803;Bovino;14100
101;2017;3550902;Bovino;10720
101;2017;3551108;Bovino;19396
101;2017;3551207;Bovino;5240
101;2017;3551306;Bovino;9890
101;2017;3551405;Bovino;2084
101;2017;3551504;Bovino;1066
101;2017;3551603;Bovino;8088
101;2017;3551702;Bovino;3959
101;2017;3551801;Bovino;7630
101;2017;3551900;Bovino;2250
101;2017;3552007;Bovino;13401
101;2017;3552106;Bovino;48930
101;2017;3552205;Bovino;8853
101;2017;3552304;Bovino;37115
101;2017;3552403;Bovino;2729
101;2017;3552502;Bovino;946
101;2017;3552551;Bovino;28265
101;2017;3552601;Bovino;6910
101;2017;3552700;Bovino;7087
101;2017;3552908;Bovino;28000
101;2017;3553005;Bovino;19684
101;2017;3553104;Bovino;2260
101;2017;3553203;Bovino;950
101;2017;3553302;Bovino;8950
101;2017;3553401;Bovino;49100
101;2017;3553500;Bovino;1467
101;2017;3553609;Bovino;19200
101;2017;3553658;Bovino;275
101;2017;3553708;Bovino;5674
101;2017;3553807;Bovino;16463
101;2017;3553856;Bovino;5372
101;2017;3553906;Bovino;22430
101;2017;3553955;Bovino;3650
101;2017;3554003;Bovino;22035
101;2017;3554102;Bovino;39025
101;2017;3554201;Bovino;14493
101;2017;3554300;Bovino;78688
101;2017;3554409;Bovino;1600
101;2017;3554508;Bovino;30000
101;2017;3554607;Bovino;12624
101;2017;3554656;Bovino;6942
101;2017;3554706;Bovino;19660
101;2017;3554755;Bovino;1864
101;2017;3554805;Bovino;7830
101;2017;3554904;Bovino;19584
101;2017;3554953;Bovino;11100
101;2017;3555000;Bovino;52096
101;2017;3555109;Bovino;15930
101;2017;3555208;Bovino;13944
101;2017;3555307;Bovino;10830
101;2017;3555356;Bovino;4896
101;2017;3555406;Bovino;76
101;2017;3555505;Bovino;21000
101;2017;3555604;Bovino;12900
101;2017;3555703;Bovino;4390
101;2017;3555802;Bovino;23984
101;2017;3555901;Bovino;9640
101;2017;3556008;Bovino;10600
101;2017;3556107;Bovino;13400
101;2017;3556206;Bovino;3650
101;2017;3556305;Bovino;22250
101;2017;3556354;Bovino;9900
101;2017;3556404;Bovino;18560
101;2017;3556503;Bovino;106
101;2017;3556602;Bovino;26579
101;2017;3556701;Bovino;2501
101;2017;3556800;Bovino;1315
101;2017;3556909;Bovino;762
101;2017;3556958;Bovino;3690
101;2017;3557006;Bovino;2079
101;2017;3557105;Bovino;33670
101;2017;3557154;Bovino;15285
101;2017;3557204;Bovino;2460
101;2017;3557303;Bovino;1900
101;2018;3500105;Bovino;34638
101;2018;3500204;Bovino;6106
101;2018;3500303;Bovino;4020
101;2018;3500402;Bovino;8600
101;2018;3500501;Bovino;5172
101;2018;3500550;Bovino;10484
101;2018;3500709;Bovino;44965
101;2018;3500758;Bovino;6185
101;2018;3500808;Bovino;21660
101;2018;3500907;Bovino;24404
101;2018;3501004;Bovino;14900
101;2018;3501103;Bovino;24509
101;2018;3501152;Bovino;870
101;2018;3501202;Bovino;39200
101;2018;3501301;Bovino;49184
101;2018;3501400;Bovino;16481
101;2018;3501509;Bovino;6000
101;2018;3501608;Bovino;1446
101;2018;3501707;Bovino;278
101;2018;3501806;Bovino;19095
101;2018;3501905;Bovino;28979
101;2018;3502002;Bovino;10700
101;2018;3502101;Bovino;54469
101;2018;3502200;Bovino;49275
101;2018;3502309;Bovino;35550
101;2018;3502408;Bovino;29759
101;2018;3502507;Bovino;6030
101;2018;3502606;Bovino;21750
101;2018;3502705;Bovino;5650
101;2018;3502754;Bovino;2050
101;2018;3502804;Bovino;67820
101;2018;3502903;Bovino;10350
101;2018;3503000;Bovino;2367
101;2018;3503109;Bovino;10483
101;2018;3503158;Bovino;4301
101;2018;3503208;Bovino;11000
101;2018;3503307;Bovino;6399
101;2018;3503356;Bovino;21669
101;2018;3503406;Bovino;41598
101;2018;3503505;Bovino;12410
101;2018;3503604;Bovino;390
101;2018;3503703;Bovino;595
101;2018;3503802;Bovino;4637
101;2018;3503901;Bovino;295
101;2018;3503950;Bovino;6910
101;2018;3504008;Bovino;21998
101;2018;3504107;Bovino;12000
101;2018;3504206;Bovino;49500
101;2018;3504305;Bovino;38395
101;2018;3504404;Bovino;9193
101;2018;3504503;Bovino;46445
101;2018;3504602;Bovino;11190
101;2018;3504701;Bovino;4027
101;2018;3504800;Bovino;7690
101;2018;3504909;Bovino;16150
101;2018;3505005;Bovino;13000
101;2018;3505104;Bovino;9624
101;2018;3505203;Bovino;23176
101;2018;3505302;Bovino;588
101;2018;3505351;Bovino;3059
101;2018;3505401;Bovino;10159
101;2018;3505500;Bovino;44631
101;2018;3505609;Bovino;315
101;2018;3505807;Bovino;21823
101;2018;3505906;Bovino;25000
101;2018;3506003;Bovino;48949
101;2018;3506102;Bovino;11000
101;2018;3506201;Bovino;14700
101;2018;3506300;Bovino;8631
101;2018;3506409;Bovino;14983
101;2018;3506508;Bovino;43695
101;2018;3506607;Bovino;709
101;2018;3506706;Bovino;6640
101;2018;3506805;Bovino;11688
101;2018;3506904;Bovino;33100
101;2018;3507001;Bovino;14484
101;2018;3507100;Bovino;2760
101;2018;3507159;Bovino;2400
101;2018;3507209;Bovino;9935
101;2018;3507308;Bovino;3082
101;2018;3507407;Bovino;16280
101;2018;3507456;Bovino;4424
101;2018;3507506;Bovino;39000
101;2018;3507605;Bovino;30560
101;2018;3507704;Bovino;10494
101;2018;3507753;Bovino;4271
101;2018;3507803;Bovino;14390
101;2018;3507902;Bovino;27531
101;2018;3508009;Bovino;25924
101;2018;3508108;Bovino;31112
101;2018;3508207;Bovino;13548
101;2018;3508306;Bovino;14200
101;2018;3508405;Bovino;7930
101;2018;3508504;Bovino;22980
101;2018;3508603;Bovino;17800
101;2018;3508702;Bovino;33000
101;2018;3508801;Bovino;40764
101;2018;3508900;Bovino;20525
